Used,2007,BMW,530xi,"9,999", Blue, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2006,BMW,530xi,"5,999", Black, 17 City / 26 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"6,995", Gray, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2006,BMW,530xi,"4,995", Blue, 18 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"4,995", Gray, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2006,BMW,530xi,"4,999", Charcoal, 18 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"6,110", Silver, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"5,500",n/a,n/a,n/a,n/a
Used,2006,BMW,530xi,"6,000",n/a,n/a,n/a,n/a
Used,2007,BMW,530xi,"7,495",n/a,n/a,n/a,n/a
Used,2006,BMW,530xi,"8,999",n/a,n/a,n/a,n/a
Used,2006,BMW,530xi,"6,895", White, 18 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"4,980", Black, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2006,BMW,530xi,"9,598", Silver, 18 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"5,495", Gray, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"7,995", Green, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"8,995", Black, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"10,980", Black, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2006,BMW,530xi,"7,995", Gray, 18 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"5,955", Blue, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"5,423", White, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"8,800", Black, 17 City / 25 Highway, All wheel drive, 6-Cylinder
Used,2007,BMW,530xi,"7,995", Gray, 17 City / 25 Highway, All wheel drive, 6-Cylinder
